hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1194?ys=2025RS' target='_blank'>HB1194</a>,Delegate Tomlinson,Primary and Secondary Education,Public Schools - Injury Incidents - Requirements for Tracking and Reporting,Hearing 3/05 at 1:15 p.m. (Ways and Means),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1282?ys=2025RS' target='_blank'>HB1282</a>,Delegate Tomlinson,Criminal Law - Substantive Crimes,Criminal Law - Uploading Criminal Activity on Social Media Application - Prohibition (MaKenzi's Law),Hearing 3/06 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1349?ys=2025RS' target='_blank'>HB1349</a>,Delegate Tomlinson,Criminal Law - Substantive Crimes,Criminal Law - Unmanned Aircraft Systems - Trespass and Surveillance,Hearing 3/06 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1397?ys=2025RS' target='_blank'>HB1397</a>,Delegate Tomlinson,Utility Regulation,Certificate of Public Convenience and Necessity - Overhead Transmission Lines - Grid Enhancing Technologies,Hearing 2/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0952?ys=2025RS' target='_blank'>SB0952</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1398?ys=2025RS' target='_blank'>HB1398</a>,Delegate Tomlinson,Criminal Law - Substantive Crimes,"Criminal Law - Distribution of Heroin or Fentanyl Causing Serious Bodily Injury or Death (Victoria, Scottie, Ashleigh, and Yader's Law)",Hearing 2/18 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0604?ys=2025RS' target='_blank'>SB0604</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0112?ys=2025RS' target='_blank'>SB0112</a>,Senator Ready,Criminal Law - Substantive Crimes,Criminal Law - Second Degree Assault - Sports Official,Hearing 1/16 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0462?ys=2025RS' target='_blank'>HB0462</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0332?ys=2025RS' target='_blank'>SB0332</a>,Senator Ready,Utility Regulation,Task Force to Study the Premature Retirement of Electricity Generation Facilities,Hearing 2/13 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0336?ys=2025RS' target='_blank'>SB0336</a>,Senator Ready,Criminal Law - Substantive Crimes,Gun Theft Felony Act of 2025,Hearing 1/30 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0982?ys=2025RS' target='_blank'>HB0982</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0556?ys=2025RS' target='_blank'>SB0556</a>,Senator Ready,Real Property,Real Property - Fraudulent Possession and Unauthorized Lease or Listing - Prohibition and Removal,Hearing 2/06 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0557?ys=2025RS' target='_blank'>SB0557</a>,Senator Ready,Taxes - Transportation,Vehicle-Miles-Traveled Tax and Associated Mandated Devices - Prohibition (Transportation Freedom Act of 2025),Hearing 3/06 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1008?ys=2025RS' target='_blank'>HB1008</a>
